six_code,index,machine_tags,neighbors_h1,prompt_cn,prompt_en,icon_path
000000,0,l1 000000|l2 000000|l3 000000|l4 000000|l5 000000|r1 000000|r2 000000|r3 000000|r4 000000|r5 000000|c1 000000|c2 000000,100000|010000|001000|000100|000010|000001,,,
000001,1,l1 000001|l2 000001|l3 000001|l4 000001|l5 000001|r1 000001|r2 000001|r3 000001|r4 000001|r5 000001|c1 000001|c2 000001,100001|010001|001001|000101|000011|000000,,,
000010,2,l1 000010|l2 000010|l3 000010|l4 000010|l5 000010|r1 000010|r2 000010|r3 000010|r4 000010|r5 000010|c1 000010|c2 000010,100010|010010|001010|000110|000000|000011,,,
000011,3,l1 000011|l2 000011|l3 000011|l4 000011|l5 000011|r1 000011|r2 000011|r3 000011|r4 000011|r5 000011|c1 000011|c2 000011,100011|010011|001011|000111|000001|000010,,,
000100,4,l1 000100|l2 000100|l3 000100|l4 000100|l5 000100|r1 000100|r2 000100|r3 000100|r4 000100|r5 000100|c1 000100|c2 000100,100100|010100|001100|000000|000110|000101,,,
000101,5,l1 000101|l2 000101|l3 000101|l4 000101|l5 000101|r1 000101|r2 000101|r3 000101|r4 000101|r5 000101|c1 000101|c2 000101,100101|010101|001101|000001|000111|000100,,,
000110,6,l1 000110|l2 000110|l3 000110|l4 000110|l5 000110|r1 000110|r2 000110|r3 000110|r4 000110|r5 000110|c1 000110|c2 000110,100110|010110|001110|000010|000100|000111,,,
000111,7,l1 000111|l2 000111|l3 000111|l4 000111|l5 000111|r1 000111|r2 000111|r3 000111|r4 000111|r5 000111|c1 000111|c2 000111,100111|010111|001111|000011|000101|000110,,,
001000,8,l1 001000|l2 001000|l3 001000|l4 001000|l5 001000|r1 001000|r2 001000|r3 001000|r4 001000|r5 001000|c1 001000|c2 001000,101000|011000|000000|001100|001010|001001,,,
001001,9,l1 001001|l2 001001|l3 001001|l4 001001|l5 001001|r1 001001|r2 001001|r3 001001|r4 001001|r5 001001|c1 001001|c2 001001,101001|011001|000001|001101|001011|001000,,,
001010,10,l1 001010|l2 001010|l3 001010|l4 001010|l5 001010|r1 001010|r2 001010|r3 001010|r4 001010|r5 001010|c1 001010|c2 001010,101010|011010|000010|001110|001000|001011,,,
001011,11,l1 001011|l2 001011|l3 001011|l4 001011|l5 001011|r1 001011|r2 001011|r3 001011|r4 001011|r5 001011|c1 001011|c2 001011,101011|011011|000011|001111|001001|001010,,,
001100,12,l1 001100|l2 001100|l3 001100|l4 001100|l5 001100|r1 001100|r2 001100|r3 001100|r4 001100|r5 001100|c1 001100|c2 001100,101100|011100|000100|001000|001110|001101,,,
001101,13,l1 001101|l2 001101|l3 001101|l4 001101|l5 001101|r1 001101|r2 001101|r3 001101|r4 001101|r5 001101|c1 001101|c2 001101,101101|011101|000101|001001|001111|001100,,,
001110,14,l1 001110|l2 001110|l3 001110|l4 001110|l5 001110|r1 001110|r2 001110|r3 001110|r4 001110|r5 001110|c1 001110|c2 001110,101110|011110|000110|001010|001100|001111,,,
001111,15,l1 001111|l2 001111|l3 001111|l4 001111|l5 001111|r1 001111|r2 001111|r3 001111|r4 001111|r5 001111|c1 001111|c2 001111,101111|011111|000111|001011|001101|001110,,,
010000,16,l1 010000|l2 010000|l3 010000|l4 010000|l5 010000|r1 010000|r2 010000|r3 010000|r4 010000|r5 010000|c1 010000|c2 010000,110000|000000|011000|010100|010010|010001,,,
010001,17,l1 010001|l2 010001|l3 010001|l4 010001|l5 010001|r1 010001|r2 010001|r3 010001|r4 010001|r5 010001|c1 010001|c2 010001,110001|000001|011001|010101|010011|010000,,,
010010,18,l1 010010|l2 010010|l3 010010|l4 010010|l5 010010|r1 010010|r2 010010|r3 010010|r4 010010|r5 010010|c1 010010|c2 010010,110010|000010|011010|010110|010000|010011,,,
010011,19,l1 010011|l2 010011|l3 010011|l4 010011|l5 010011|r1 010011|r2 010011|r3 010011|r4 010011|r5 010011|c1 010011|c2 010011,110011|000011|011011|010111|010001|010010,,,
